entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2023-07-18,2023-08-17,29875.445599999995,27740.641661387996,-2.421716543495566,Stop Loss
2023-07-20,2023-08-17,29820.790999999997,27689.889126554997,-2.4217202779048117,Stop Loss
2023-07-22,2023-08-17,29813.283499999998,27682.917624517497,-2.421720791942679,Stop Loss
2024-06-11,2024-06-24,67388.0207,62571.56799783778,-2.2462831020182903,Stop Loss
2024-06-13,2024-06-24,66853.68689999999,62075.38295948878,-2.2463022652612716,Stop Loss
2024-06-14,2024-06-24,66105.73969999999,61380.83544983278,-2.24632960981447,Stop Loss
2025-05-29,2025-06-22,105645.43989999998,98094.91678976806,-2.082963315970704,Stop Loss
