Sharpe Ratio,Annualized Return (%),Max Drawdown (%),Win Rate (%),Profit Factor,Total Trades,entry_setup,rsi_entry_max,stop_loss_pct,take_profit_pct,position_size_pct,max_positions
0.8246155086008022,7.606298224279416,4.785621472203372,60.0,4.644242167670861,10,A,65,7,25,33,1
0.8239835940463882,5.575077250502986,3.636228584855894,60.0,4.733151964256559,10,A,65,7,25,25,1
0.7677307550516348,5.162216071958963,3.6361078441445427,54.54545454545454,3.8431946638356353,11,A,75,7,25,25,1
0.7677196772678817,7.01202215859585,4.785599356681014,54.54545454545454,3.787851424198328,11,A,70,7,25,33,1
0.7675304535952135,7.012089642480383,4.7855993566810024,54.54545454545454,3.7879321263603902,11,A,75,7,25,33,1
0.7675234890356695,5.162141505857043,3.636228584855894,54.54545454545454,3.843057879052804,11,A,70,7,25,25,1
0.7575742012473972,12.109869564279714,9.512375708711263,52.63157894736842,3.256032575379878,19,A,65,7,25,33,2
0.7343320418420736,4.265264534500926,3.636228584855905,53.84615384615385,2.9921086798507757,13,A,65,7,20,25,1
0.7343320418420735,5.760048804757774,4.7855993566810024,53.84615384615385,2.9524470108049186,13,A,65,7,20,33,1
0.7130236180770585,7.763887918206971,8.940802044099627,52.94117647058824,3.374787863395387,17,A,65,7,25,25,2
0.6944587796901404,7.886964195206058,8.940841776288854,47.61904761904761,2.775547427623346,21,A,70,7,25,25,2
0.6937125317915208,10.084388729524157,11.704160562442844,45.45454545454545,2.4951580647004086,22,A,75,7,25,33,2
0.6935263817969577,10.771856703271059,11.704171752171334,47.61904761904761,2.7001109402973875,21,A,70,7,25,33,2
0.6901736001443053,4.542456115597843,5.238389629089912,40.0,2.9793837858155077,15,A,75,5,25,25,1
0.6898200218745977,6.129974509951498,6.870393846408085,40.0,2.9510096722811925,15,A,75,5,25,33,1
0.6898106821595472,4.542385317791977,5.238702138917173,40.0,2.979305246977378,15,A,70,5,25,25,1
0.6885975562828054,11.145221921654414,12.44425742897871,46.666666666666664,2.539119098431014,30,A,70,7,25,25,3
0.6707132695566244,5.210555080533869,4.785599356681014,50.0,2.5586849950758848,14,A,75,7,20,33,1
0.670713269556624,3.8764110474516134,3.636228584855894,50.0,2.5865065100036224,14,A,75,7,20,25,1
0.6707054456264021,5.210492675485226,4.785599356681014,50.0,2.558645530604954,14,A,70,7,20,33,1
0.6692345446602884,12.04199060625729,18.32773878105899,26.0,2.196822369898649,50,A,75,3,25,33,3
0.666835629117277,12.799868998637375,18.33809400079758,42.42424242424242,2.0837213953340616,33,A,75,7,25,33,3
0.657104858513665,6.906907696842058,7.238803128260852,50.0,2.5051493476198106,24,A,70,7,20,25,2
0.6532003091686985,2.944858266013126,4.785599356681014,64.28571428571429,2.2811431514448017,14,A,75,7,10,33,1
0.6486271019024629,6.2659809111575155,7.23866759276357,50.0,2.472302245794557,22,A,65,7,20,25,2
0.6455500390819773,8.483284617154974,9.512395872804348,50.0,2.413927004610175,22,A,65,7,20,33,2
0.6439038727280286,8.39556900183682,13.508790180348996,26.47058823529412,2.3602861329828766,34,A,70,3,25,33,2
0.6362368567867547,8.818180700165309,14.936070358044141,34.48275862068966,2.198633343815528,29,A,75,5,25,33,2
0.6314810338192686,9.515068923598793,14.080933702570753,42.42424242424242,2.1635292487568694,33,A,75,7,25,25,3
0.6314519923835611,9.193127218168417,10.807572799656317,46.15384615384615,2.5079563793152215,26,A,65,7,25,25,3
0.6219867398807858,6.446648365006812,9.624465823170725,27.27272727272727,2.5099257577492526,33,A,65,3,25,25,2
0.6218468462151762,3.8835799185389956,4.7855993566810024,53.333333333333336,2.196114773910952,15,A,75,7,15,33,1
0.6184814608497019,7.888324894668587,14.1149245585365,25.0,2.1324239633239293,48,A,70,3,25,25,3
0.6135999452675798,6.249058978210061,11.483594561332966,33.33333333333333,2.127056762288489,30,A,75,5,25,25,2
0.6134282565401782,10.546798665099656,18.246748393373057,25.0,2.0524926627877598,48,A,70,3,25,33,3
0.6122691923630956,7.6827401502845865,13.425781897473287,25.0,2.1484329145706234,48,A,75,3,25,25,3
0.6107536539882789,0.8291107858667844,0.0,100.0,inf,2,C,70,7,10,25,2
0.6107536539882789,0.8291107858667844,0.0,100.0,inf,2,C,75,5,10,25,2
0.6107536539882789,1.098613240575095,0.0,100.0,inf,2,C,75,5,10,33,2
0.6107536539882789,0.8291107858667844,0.0,100.0,inf,2,C,70,7,10,25,3
0.6107536539882789,1.704663927913826,0.0,100.0,inf,2,C,65,5,20,25,1
0.6107536539882789,1.704663927913826,0.0,100.0,inf,2,C,75,7,20,25,1
0.6107536539882787,1.2642533266102443,0.0,100.0,inf,2,C,70,7,15,25,3
0.6107536539882787,1.2642533266102443,0.0,100.0,inf,2,C,75,3,15,25,2
0.6107536539882787,2.2674272876374615,0.0,100.0,inf,2,C,65,7,20,33,3
0.6107536539882787,2.8656029142485595,0.0,100.0,inf,2,C,70,5,25,33,1
0.6107536539882787,2.1503425897775235,0.0,100.0,inf,2,C,75,7,25,25,3
0.6107536539882786,1.6784307297463044,0.0,100.0,inf,2,C,65,5,15,33,3
0.6107536539882786,1.6784307297463044,0.0,100.0,inf,2,C,75,5,15,33,2
0.6107536539882786,1.6784307297463044,0.0,100.0,inf,2,C,65,3,15,33,3
0.6107536539882786,1.6784307297463044,0.0,100.0,inf,2,C,75,3,15,33,3
0.6105976703379942,1.2642533266102443,0.0,100.0,inf,2,C,65,7,15,25,2
0.6105976703379942,1.2642533266102443,0.0,100.0,inf,2,C,65,7,15,25,1
