entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2020-07-06,2020-07-16,9348.9396,9054.401769167715,-1.104623532132772,Stop Loss
2020-07-09,2020-08-01,9245.51628,11545.33845465,8.134541250000002,Take Profit
2020-07-21,2020-08-01,9397.398009999999,11735.000764987499,8.044685193121454,Take Profit
2020-07-22,2020-08-02,9527.76825,11897.8006021875,8.04468519312146,Take Profit
2020-09-01,2020-09-02,11942.11018,11565.582686430958,-1.3609969584349462,Stop Loss
2020-10-06,2020-10-25,10604.243649999999,13242.049257937499,9.904478418540046,Take Profit
2020-10-08,2020-10-27,10930.36945,13649.2988506875,9.904478418540048,Take Profit
2020-10-10,2020-10-31,11306.084789999999,14118.4733815125,9.90447841854005,Take Profit
2023-04-14,2023-04-17,30483.553099999994,29522.69677652521,-1.6739682295538363,Stop Loss
2023-04-17,2023-04-19,29449.42,28520.837011757143,-1.656010314313323,Stop Loss
2023-04-18,2023-04-19,30396.165799999995,29437.80292261814,-1.6558927187098058,Stop Loss
2023-05-28,2023-05-31,28083.755699999998,27198.435075170786,-1.6190517057730662,Stop Loss
2023-05-29,2023-05-31,27749.721999999998,26874.90840520429,-1.6190919880806582,Stop Loss
2023-05-24,2023-06-05,26340.113799999996,25509.461002563854,-1.619600361695488,Stop Loss
2023-05-31,2023-06-05,27228.301099999997,26369.710371042354,-1.5836740297329936,Stop Loss
2023-06-01,2023-06-05,26832.105299999996,25985.976909931356,-1.5837284376474958,Stop Loss
2023-07-13,2023-07-14,31473.141699999996,30480.946992112215,-1.5303906724096716,Stop Loss
2023-07-10,2023-07-18,30427.296899999998,29468.08559743907,-1.5303711432719722,Stop Loss
2023-07-12,2023-07-18,30399.2689,29440.939218179075,-1.5303740765040281,Stop Loss
2023-07-14,2023-07-18,30323.593299999997,29367.643994177073,-1.5134668825715818,Stop Loss
2023-07-20,2023-07-24,29820.790999999997,28880.844661952142,-1.4626862774722524,Stop Loss
2023-08-01,2023-08-04,29730.901199999997,28794.191720611143,-1.4459362107853795,Stop Loss
2023-08-08,2023-08-16,29788.759,28850.56963922643,-1.4294720538324184,Stop Loss
2023-07-24,2023-08-17,29192.963799999998,28272.852623671,-1.4464537000679258,Stop Loss
2023-08-02,2023-08-17,29199.270099999994,28278.960559004496,-1.4464531105853167,Stop Loss
2023-08-16,2023-08-17,28743.1144,27837.153236548,-1.4147204289825155,Stop Loss
2023-10-16,2023-10-23,28514.786299999996,35607.839392124995,10.063272221837634,Take Profit
2023-10-17,2023-10-23,28410.281899999998,35477.339522625,10.063272221837636,Take Profit
2023-10-19,2023-10-23,28725.596899999997,35871.089128875,10.063272221837638,Take Profit
2023-12-01,2024-01-11,38698.659999999996,48324.951675000004,12.51907531179317,Take Profit
2024-06-04,2024-06-07,70650.57999999999,68423.31143467143,-1.8394137671346389,Stop Loss
2024-06-05,2024-06-07,71204.43329999999,68959.74327911991,-1.8393838402760156,Stop Loss
2024-06-07,2024-06-11,69446.377,67257.27394360786,-1.7985957103891694,Stop Loss
2024-06-11,2024-06-14,67388.0207,65263.45908031007,-1.7789874269994728,Stop Loss
2024-06-13,2024-06-18,66853.68689999999,64746.04385713192,-1.778929903581312,Stop Loss
2024-06-14,2024-06-18,66105.73969999999,64021.62333630792,-1.7593085945180176,Stop Loss
2024-06-17,2024-06-18,66538.5721,64440.84099316594,-1.7592840154928673,Stop Loss
2024-06-20,2024-06-24,64918.85399999999,62871.54648314428,-1.7012290931777108,Stop Loss
2024-06-21,2024-06-24,64188.123999999996,62163.80159529429,-1.7012761035605777,Stop Loss
2024-10-29,2024-10-31,72812.2395,70516.69748867037,-1.6631357762302574,Stop Loss
2024-10-30,2024-10-31,72421.34899999999,70138.10244934786,-1.663155018003657,Stop Loss
2024-10-28,2024-11-03,70009.93999999999,67802.22485515714,-1.663504817352898,Stop Loss
2024-10-31,2024-11-03,70392.22189999999,68172.48207799264,-1.626708733594724,Stop Loss
2025-02-18,2025-02-24,95717.62199999999,92700.11741427572,-1.5899150545701002,Stop Loss
2025-02-21,2025-02-24,96224.02789999999,93190.59431669122,-1.589897567539535,Stop Loss
2025-02-24,2025-02-25,91606.01449999999,88717.3384389025,-1.555169014204036,Stop Loss
2025-05-05,2025-07-11,94791.39669999998,118370.756629125,11.31607271969583,Take Profit
2025-05-06,2025-07-14,96895.69889999999,120998.504001375,11.316072719695827,Take Profit
2025-05-07,2025-07-14,97085.38839999998,121235.3787645,11.316072719695832,Take Profit
2025-07-25,2025-08-01,117701.0835,113991.9551685075,-1.912123432439624,Stop Loss
