entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2023-07-18,2023-07-24,29875.445599999995,28933.780101509143,-1.1051104087414165,Stop Loss
2023-07-20,2023-07-24,29820.790999999997,28880.844661952142,-1.1051143188127925,Stop Loss
2024-06-11,2024-06-14,67388.0207,65263.45908031007,-1.0809292010255,Stop Loss
2024-06-13,2024-06-18,66853.68689999999,64746.04385713192,-1.0808942492650273,Stop Loss
2024-06-14,2024-06-18,66105.73969999999,64021.62333630792,-1.0689721605492943,Stop Loss
2024-06-15,2024-06-18,66279.91369999999,64190.31869313793,-1.0689661273991937,Stop Loss
2025-05-29,2025-06-05,105645.43989999998,102315.19132008836,-1.0332654682025182,Stop Loss
2025-06-19,2025-06-21,104711.7071,101410.69271031237,-1.0219038120454493,Stop Loss
2025-06-05,2025-06-22,101560.05859999999,98357.52002816557,-1.0221676877405046,Stop Loss
