entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2020-07-06,2020-08-01,9348.9396,11674.4883255,8.134541250000002,Take Profit
2020-07-09,2020-08-01,9245.51628,11545.33845465,8.134541250000002,Take Profit
2020-07-21,2020-08-01,9397.398009999999,11735.000764987499,8.13454125,Take Profit
2020-09-01,2020-09-02,11942.11018,11327.098746136357,-2.194206872384944,Stop Loss
2020-10-06,2020-10-25,10604.243649999999,13242.049257937499,9.941175427294061,Take Profit
2020-10-08,2020-10-27,10930.36945,13649.2988506875,9.941175427294063,Take Profit
2020-10-10,2020-10-31,11306.084789999999,14118.4733815125,9.941175427294064,Take Profit
2023-04-14,2023-04-19,30483.553099999994,28913.68489968964,-2.6815006196087743,Stop Loss
2023-04-18,2023-04-19,30396.165799999995,28830.79149159214,-2.68151126225359,Stop Loss
2023-04-17,2023-04-21,29449.42,27932.458505071427,-2.682096240952572,Stop Loss
2023-05-28,2023-06-01,28083.755699999998,26637.673813127498,-2.5392668087103116,Stop Loss
2023-05-29,2023-06-05,27749.721999999998,26320.56802829286,-2.5397322036590086,Stop Loss
2023-06-01,2023-06-05,26832.105299999996,25450.139767090353,-2.4950653888517835,Stop Loss
2023-05-24,2023-06-14,26340.113799999996,24983.237912120712,-2.540306972287744,Stop Loss
2023-07-13,2023-07-14,31473.141699999996,29852.42835236321,-2.361045642164462,Stop Loss
2023-07-10,2023-07-24,30427.296899999998,28860.639799774643,-2.3607550547911953,Stop Loss
2023-07-12,2023-07-24,30399.2689,28834.053139674645,-2.3607576403332895,Stop Loss
2023-07-14,2023-08-01,30323.593299999997,28762.758353833215,-2.3184298237649714,Stop Loss
2023-07-24,2023-08-17,29192.963799999998,27689.869136585003,-2.235847546477613,Stop Loss
2023-08-01,2023-08-17,29730.901199999997,28200.14310579,-2.1949170870928243,Stop Loss
2023-08-02,2023-08-17,29199.270099999994,27695.851135107496,-2.1949634886309393,Stop Loss
2023-10-16,2023-10-23,28514.786299999996,35607.839392124995,9.586292277402737,Take Profit
2023-10-17,2023-10-23,28410.281899999998,35477.339522625,9.58629227740274,Take Profit
2023-10-19,2023-10-23,28725.596899999997,35871.089128875,9.586292277402741,Take Profit
2023-12-01,2024-01-11,38698.659999999996,48324.951675000004,11.92569497635542,Take Profit
2024-06-04,2024-06-11,70650.57999999999,67012.70665564285,-2.7957090360820063,Stop Loss
2024-06-05,2024-06-11,71204.43329999999,67538.07804969035,-2.7956821808313994,Stop Loss
2024-06-07,2024-06-14,69446.377,65870.22563420358,-2.795922548172138,Stop Loss
2024-06-11,2024-06-18,67388.0207,63917.831414073924,-2.69733540802154,Stop Loss
2024-06-13,2024-06-21,66853.68689999999,63411.33385473892,-2.6970937843146214,Stop Loss
2024-06-14,2024-06-24,66105.73969999999,62700.967071641775,-2.6484855913813146,Stop Loss
2024-06-18,2024-06-24,65215.149999999994,61856.175946964286,-2.6009586465054286,Stop Loss
2024-06-21,2024-06-24,64188.123999999996,60881.964759014285,-2.553443798616144,Stop Loss
2024-10-29,2024-11-01,72812.2395,69062.45983371249,-2.41543495444892,Stop Loss
2024-10-30,2024-11-03,72421.34899999999,68691.52864553213,-2.415541727879993,Stop Loss
2024-10-28,2024-11-11,70009.93999999999,87424.912575,11.139984841695146,Take Profit
2025-02-21,2025-02-24,96224.02789999999,91269.00047952821,-2.5264943706620677,Stop Loss
2025-02-18,2025-02-25,95717.62199999999,90788.13441365,-2.526759516901516,Stop Loss
2025-02-24,2025-02-25,91606.01449999999,86887.96632933749,-2.4823537642362976,Stop Loss
2025-05-05,2025-07-11,94791.39669999998,118370.756629125,11.04020660001084,Take Profit
2025-05-06,2025-07-14,96895.69889999999,120998.504001375,11.040206600010837,Take Profit
2025-05-07,2025-07-14,97085.38839999998,121235.3787645,11.040206600010842,Take Profit
