entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2020-07-06,2020-07-16,9348.9396,9054.401769167715,-1.104623532132772,Stop Loss
2020-07-21,2020-07-27,9397.398009999999,10326.800673189002,3.1591498049112188,Take Profit
2020-07-22,2020-07-27,9527.76825,10470.064529925,3.1591498049112148,Take Profit
2020-07-23,2020-07-27,9614.014409999998,10564.840435148999,3.1591498049112126,Take Profit
2020-09-01,2020-09-02,11942.11018,11565.582686430958,-1.1979852115332033,Stop Loss
2020-10-06,2020-10-12,10604.243649999999,11653.003346985,3.4236320148637556,Take Profit
2020-10-12,2020-10-16,11541.89036,11178.109305869059,-1.2221846005884225,Stop Loss
2020-10-08,2020-10-20,10930.36945,12011.382988605003,3.4236320148637565,Take Profit
2020-10-10,2020-10-21,11306.084789999999,12424.256575731,3.4236320148637533,Take Profit
2020-10-16,2020-10-21,11330.238919999998,12450.799549188001,3.4939558501907824,Take Profit
2023-04-14,2023-04-17,30483.553099999994,29522.69677652521,-1.3230410032052822,Stop Loss
2023-04-17,2023-04-19,29449.42,28520.837011757143,-1.3088477480551433,Stop Loss
2023-04-18,2023-04-19,30396.165799999995,29437.80292261814,-1.3087548049499498,Stop Loss
2023-05-28,2023-05-31,28083.755699999998,27198.435075170786,-1.2796370655243254,Stop Loss
2023-05-29,2023-05-31,27749.721999999998,26874.90840520429,-1.279668903132535,Stop Loss
2023-05-31,2023-06-05,27228.301099999997,26369.710371042354,-1.2516758920846094,Stop Loss
2023-06-01,2023-06-05,26832.105299999996,25985.976909931356,-1.2517188940368056,Stop Loss
2023-06-02,2023-06-05,27255.027799999996,26395.596382693857,-1.251673036258469,Stop Loss
2023-07-13,2023-07-14,31473.141699999996,30480.946992112215,-1.2098766234498228,Stop Loss
2023-07-10,2023-07-18,30427.296899999998,29468.08559743907,-1.2098611843546923,Stop Loss
2023-07-12,2023-07-18,30399.2689,29440.939218179075,-1.2098635032716587,Stop Loss
2023-07-14,2023-07-18,30323.593299999997,29367.643994177073,-1.1964972308055632,Stop Loss
2023-07-20,2023-07-24,29820.790999999997,28880.844661952142,-1.1563517515224342,Stop Loss
2023-08-01,2023-08-04,29730.901199999997,28794.191720611143,-1.1431096986982594,Stop Loss
2023-07-24,2023-08-17,29192.963799999998,28272.852623671,-1.1435188087360597,Stop Loss
2023-08-02,2023-08-17,29199.270099999994,28278.960559004496,-1.1435183427104614,Stop Loss
2023-08-07,2023-08-17,29231.9027,28310.5667005715,-1.1308838930077774,Stop Loss
2023-10-16,2023-10-23,28514.786299999996,31334.898665070003,3.1599047496705635,Take Profit
2023-10-17,2023-10-23,28410.281899999998,31220.058779910003,3.1599047496705612,Take Profit
