entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2023-07-18,2023-07-24,29875.445599999995,28933.780101509143,-1.1051104087414165,Stop Loss
2023-07-20,2023-07-24,29820.790999999997,28880.844661952142,-1.1051143188127925,Stop Loss
2023-07-22,2023-07-24,29813.283499999998,28873.57331036464,-1.1051148570303833,Stop Loss
2024-06-11,2024-06-14,67388.0207,65263.45908031007,-1.0687137018475625,Stop Loss
2024-06-13,2024-06-18,66853.68689999999,64746.04385713192,-1.0686791450742923,Stop Loss
2024-06-14,2024-06-18,66105.73969999999,64021.62333630792,-1.056891786981775,Stop Loss
2024-06-15,2024-06-18,66279.91369999999,64190.31869313793,-1.0568858220118478,Stop Loss
2025-05-29,2025-06-05,105645.43989999998,102315.19132008836,-1.021588613265632,Stop Loss
2025-06-05,2025-06-22,101560.05859999999,98357.52002816557,-1.01061624798158,Stop Loss
