Net Profit,Total Return (%),Sharpe Ratio,Max Drawdown (%),Total Trades,Entry APR,Exit APR,Filter Periods
2082.6367284365424,20.826367284365425,5.361141983018992,0.46978846421182363,6,15,3,12
2362.278610500909,23.62278610500909,5.274261688031896,0.69998123030165,7,12,3,3
2236.0536067631238,22.360536067631237,5.253414229940067,0.6999812303017887,7,12,3,6
2159.6965593537025,21.596965593537025,5.244424839465619,0.700157503714587,7,12,3,9
2080.8674126067363,20.808674126067363,5.22081666454386,0.6827133403247156,7,12,3,12
2283.677847441142,22.83677847441142,5.172631669136102,0.6825370359459301,7,15,3,3
2184.141418286459,21.84141418286459,5.160860754375041,0.6827133403247524,7,15,3,6
2104.125924834605,21.04125924834605,5.135354977226304,0.7015026647880793,7,15,3,9
2269.8865514273,22.698865514273002,4.984048855586817,0.7439927574184035,8,12,4,3
2257.7689073381753,22.57768907338175,4.962556870158531,0.7440496216522949,8,12,5,3
1967.7496884786906,19.677496884786905,4.957048639105735,0.47986013824804113,7,15,4,12
2253.294893498007,22.53294893498007,4.953371590528474,0.7440496216522949,8,12,6,3
2140.21013787596,21.402101378759596,4.935465558226384,0.7439927574181707,8,12,4,6
1955.8340080888647,19.558340080888648,4.933105103748623,0.47993352289161645,7,15,5,12
1951.4611233004925,19.514611233004924,4.922727932366707,0.47993352289161645,7,15,6,12
2064.440018048719,20.644400180487192,4.915347722491308,0.744169407623447,8,12,4,9
2128.183152598569,21.28183152598569,4.913118099598557,0.7440496216521402,8,12,5,6
2123.751335733323,21.237513357333228,4.903535550181659,0.7440496216521402,8,12,6,6
2052.4566796917316,20.524566796917316,4.892432907859266,0.7442263533264468,8,12,5,9
2048.0525343957197,20.480525343957197,4.882601199692456,0.7442263533264468,8,12,6,9
1983.671500221033,19.83671500221033,4.870456322638177,0.7267329758756934,8,12,4,12
1971.7406298171209,19.71740629817121,4.8469495705841386,0.7267899315826086,8,12,5,12
1967.3659793553034,19.673659793553032,4.836845206095011,0.7267899315826086,8,12,6,12
2168.090244556779,21.68090244556779,4.834317976419482,0.7265562946385324,8,15,4,3
2156.0637719109527,21.560637719109526,4.812600890102829,0.7266131688617244,8,15,5,3
2151.6217670565165,21.516217670565165,4.80333291827775,0.7266131688617244,8,15,6,3
2065.350492426849,20.65350492426849,4.800521813223718,0.7267329758757425,8,15,4,6
2053.3863868229782,20.533863868229783,4.778050916563757,0.7267899315826766,8,15,5,6
2048.981083628736,20.48981083628736,4.768447438785866,0.7267899315826766,8,15,6,6
1983.7618700377425,19.837618700377423,4.751621902944288,0.7455222401736112,8,15,4,9
1971.849447556022,19.71849447556022,4.728614680338534,0.7455791851004883,8,15,5,9
1967.4707050690904,19.674707050690905,4.718780504208916,0.7455791851004883,8,15,6,9
1869.2211690963777,18.692211690963777,3.9737414517746106,2.318915466147943,16,10,3,12
1890.6518356453416,18.906518356453418,3.8783605826010943,2.186564765362013,17,10,3,9
1639.605649078514,16.396056490785142,3.3631385668560037,2.9765599451585216,19,10,4,12
1670.099599309051,16.70099599309051,3.3152952882102875,2.7639078348295447,20,10,4,9
1524.4989479280248,15.24498947928025,3.024077282104028,3.863023207294683,21,10,5,12
1513.9852037236942,15.139852037236942,3.000771813111265,3.864573917436962,21,10,6,12
1549.6413570667537,15.496413570667537,2.981878232726876,3.6835332719502074,22,10,5,9
1563.7870785317264,15.637870785317265,2.867106146734089,4.42868649584165,25,10,3,6
1477.919679769353,14.779196797693531,2.815134490724951,4.195807955251196,23,10,6,9
1350.6403523883,13.506403523883002,2.4168291461538494,5.0695909733057976,28,10,4,6
1271.980231083844,12.71980231083844,2.2612034577823854,5.091617662095071,29,10,5,6
1180.0760806042435,11.800760806042437,2.0850660474587817,5.649485777779853,30,10,6,6
878.4910599715167,8.784910599715168,1.4807138677921738,7.2676767414134344,36,8,3,12
800.4602718887872,8.004602718887872,1.3310905073607042,7.525941895074179,39,8,3,9
812.0263161853673,8.120263161853671,1.2926012940478862,9.569867611904849,42,10,3,3
686.2331737493369,6.862331737493369,1.0932097954823805,9.279509024183834,43,8,3,6
365.63268152423734,3.6563268152423736,0.5651273752274162,12.293668939767073,50,10,4,3
346.1641974418326,3.4616419744183258,0.5413612778456196,9.564284823715964,46,8,4,12
322.50597393331736,3.2250597393331732,0.5086794706028503,10.213396787083964,48,8,4,9
244.6328018139211,2.446328018139211,0.3780713428992745,12.653791784036091,52,10,5,3
155.6453083268516,1.556453083268516,0.23835882381300397,11.9057973435946,53,8,4,6
61.175688181861915,0.6117568818186192,0.10386374644623363,10.627467504644505,53,8,5,9
54.23589379137593,0.5423589379137593,0.08878271839224769,13.601705132935074,55,10,6,3
36.185892103794686,0.3618589210379468,0.061003082724610996,9.981353831250741,52,8,5,12
-150.84535960554058,-1.5084535960554057,-0.20833106100662568,12.249658565974185,59,8,5,6
-162.7813740936508,-1.627813740936508,-0.22755118412074418,14.261066858188313,63,8,3,3
-374.23108646755827,-3.7423108646755825,-0.5192092197521747,12.812576355635668,60,8,6,12
-441.4618245804013,-4.4146182458040135,-0.6128070379990341,13.71204605250014,63,8,6,9
-687.6956485481769,-6.876956485481769,-0.9271769767074827,16.38101655871308,70,8,6,6
-796.6563236141137,-7.966563236141138,-1.0933744527146716,17.953752638224753,76,8,4,3
-1041.2839854532158,-10.412839854532157,-1.4139170331851236,20.098423467156604,81,8,5,3
-1491.2843330324158,-14.912843330324158,-1.9498770072452758,24.11191570795564,91,8,6,3
