entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2020-07-09,2020-07-27,9245.51628,11083.524916464,6.487839600000004,Take Profit
2020-07-21,2020-07-27,9397.398009999999,11265.600734388,6.487839600000001,Take Profit
2020-07-23,2020-08-01,9614.014409999998,11525.280474707999,6.4878396000000045,Take Profit
2020-09-01,2020-09-02,11942.11018,11327.098746136357,-2.1070742639862043,Stop Loss
2020-10-06,2020-10-21,10604.243649999999,12712.36728762,7.613897881759546,Take Profit
2020-10-08,2020-10-21,10930.36945,13103.32689666,7.613897881759542,Take Profit
2020-10-10,2020-10-27,11306.084789999999,13553.734446252,7.613897881759543,Take Profit
2023-04-14,2023-04-19,30483.553099999994,28913.68489968964,-2.472762722265617,Stop Loss
2023-04-18,2023-04-19,30396.165799999995,28830.79149159214,-2.4727725364477116,Stop Loss
2023-04-17,2023-04-21,29449.42,27932.458505071427,-2.4733119782474207,Stop Loss
2023-05-28,2023-06-01,28083.755699999998,26637.673813127498,-2.3416009157519166,Stop Loss
2023-05-29,2023-06-05,27749.721999999998,26320.56802829286,-2.342030082641476,Stop Loss
2023-06-01,2023-06-05,26832.105299999996,25450.139767090353,-2.3008402974257027,Stop Loss
2023-05-24,2023-06-14,26340.113799999996,24983.237912120712,-2.34256010916046,Stop Loss
2023-07-13,2023-07-14,31473.141699999996,29852.42835236321,-2.1772531420722796,Stop Loss
2023-07-10,2023-07-24,30427.296899999998,28860.639799774643,-2.176985175091806,Stop Loss
2023-07-12,2023-07-24,30399.2689,28834.053139674645,-2.1769875593657684,Stop Loss
2023-07-14,2023-08-01,30323.593299999997,28762.758353833215,-2.137954696139988,Stop Loss
2023-07-24,2023-08-17,29192.963799999998,27689.869136585003,-2.061800927872063,Stop Loss
2023-08-01,2023-08-17,29730.901199999997,28200.14310579,-2.02405664639333,Stop Loss
2023-08-02,2023-08-17,29199.270099999994,27695.851135107496,-2.024099435864593,Stop Loss
2023-10-16,2023-10-23,28514.786299999996,34183.52581644,7.050537840853503,Take Profit
2023-10-17,2023-10-23,28410.281899999998,34058.24594172,7.050537840853499,Take Profit
2023-10-19,2023-10-23,28725.596899999997,34436.24556372,7.0505378408534956,Take Profit
2023-12-01,2024-01-08,38698.659999999996,46391.953607999996,8.422820599009134,Take Profit
2024-06-04,2024-06-11,70650.57999999999,67012.70665564285,-2.438003693669767,Stop Loss
2024-06-05,2024-06-11,71204.43329999999,67538.07804969035,-2.437980274494406,Stop Loss
2024-06-07,2024-06-14,69446.377,65870.22563420358,-2.4381898873178414,Stop Loss
2024-06-11,2024-06-18,67388.0207,63917.831414073924,-2.3522167732586117,Stop Loss
2024-06-13,2024-06-21,66853.68689999999,63411.33385473892,-2.3520060648185193,Stop Loss
2024-06-14,2024-06-24,66105.73969999999,62700.967071641775,-2.3096171923054856,Stop Loss
2024-06-18,2024-06-24,65215.149999999994,61856.175946964286,-2.2681712243378627,Stop Loss
2024-06-21,2024-06-24,64188.123999999996,60881.964759014285,-2.226735805571761,Stop Loss
2024-10-29,2024-11-01,72812.2395,69062.45983371249,-2.106384915154953,Stop Loss
2024-10-30,2024-11-03,72421.34899999999,68691.52864553213,-2.1064780271404926,Stop Loss
2024-10-28,2024-11-11,70009.93999999999,83927.91607199999,7.748078772218323,Take Profit
2025-02-21,2025-02-24,96224.02789999999,91269.00047952821,-2.168551612648735,Stop Loss
2025-02-18,2025-02-25,95717.62199999999,90788.13441365,-2.1687791941196535,Stop Loss
2025-02-24,2025-02-25,91606.01449999999,86887.96632933749,-2.130664655780982,Stop Loss
2025-05-05,2025-07-10,94791.39669999998,113635.92636396,7.557804733832049,Take Profit
2025-05-06,2025-07-10,96895.69889999999,116158.56384131999,7.557804733832045,Take Profit
2025-05-07,2025-07-10,97085.38839999998,116385.96361391999,7.557804733832046,Take Profit
