entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2020-07-06,2020-07-26,9348.9396,10273.549726440002,3.194436300000008,Take Profit
2020-07-09,2020-07-26,9245.51628,10159.897840092002,3.194436300000009,Take Profit
2020-07-21,2020-07-27,9397.398009999999,10326.800673189002,3.19443630000001,Take Profit
2020-09-01,2020-09-03,11942.11018,11088.371614770329,-2.6549875286473474,Stop Loss
2020-10-06,2020-10-12,10604.243649999999,11653.003346985,3.4157571128671544,Take Profit
2020-10-08,2020-10-20,10930.36945,12011.382988605003,3.4157571128671553,Take Profit
2020-10-10,2020-10-21,11306.084789999999,12424.256575731,3.4157571128671527,Take Profit
2020-10-12,2020-10-21,11541.89036,12683.383316604002,3.5248712980004173,Take Profit
2023-04-14,2023-04-20,30483.553099999994,28304.820451425494,-2.9236435186877925,Stop Loss
2023-04-18,2023-04-20,30396.165799999995,28223.672167709,-2.9236523728866404,Stop Loss
2023-04-17,2023-04-21,29449.42,27344.353587671427,-2.923975551808369,Stop Loss
2023-05-28,2023-06-05,28083.755699999998,26076.591443941354,-2.7111185662565798,Stop Loss
2023-05-29,2023-06-05,27749.721999999998,25766.40607995286,-2.7111521678324464,Stop Loss
2023-05-24,2023-06-21,26340.113799999996,28945.151054820002,3.575506757579591,Take Profit
2023-07-13,2023-07-24,31473.141699999996,29224.18339118564,-2.6658706733493793,Stop Loss
2023-07-14,2023-08-17,30323.593299999997,28156.793856346496,-2.6658512354135007,Stop Loss
2023-07-20,2023-08-17,29820.790999999997,27689.889126554997,-2.665888495527189,Stop Loss
2023-07-24,2023-08-17,29192.963799999998,27106.885649498996,-2.601375721476887,Stop Loss
2023-10-16,2023-10-23,28514.786299999996,31334.898665070003,3.1779351985051854,Take Profit
2023-10-17,2023-10-23,28410.281899999998,31220.058779910003,3.1779351985051836,Take Profit
2023-10-19,2023-10-23,28725.596899999997,31566.558433410002,3.177935198505184,Take Profit
2023-12-01,2023-12-05,38698.659999999996,42525.957474,3.4824865452197633,Take Profit
2024-06-05,2024-06-11,71204.43329999999,66116.12551668935,-2.72456342315587,Stop Loss
2024-06-04,2024-06-14,70650.57999999999,65601.61041232856,-2.724689654132372,Stop Loss
2024-06-07,2024-06-18,69446.377,64483.492592656425,-2.7246746600930214,Stop Loss
2024-06-11,2024-06-24,67388.0207,62571.56799783778,-2.6590449252545207,Stop Loss
2024-06-14,2024-06-24,66105.73969999999,61380.83544983278,-2.593099424200585,Stop Loss
2024-06-18,2024-06-24,65215.149999999994,60553.82940146428,-2.5271367820149804,Stop Loss
2024-10-29,2024-11-03,72812.2395,67608.25717875465,-2.3385431371630165,Stop Loss
2024-10-30,2024-11-04,72421.34899999999,67245.27694885927,-2.3385550761372076,Stop Loss
2024-10-28,2024-11-08,70009.93999999999,76933.923066,3.0841172644414736,Take Profit
2025-02-18,2025-02-25,95717.62199999999,88876.65350231,-2.2999285284240627,Stop Loss
2025-02-21,2025-02-25,96224.02789999999,89346.9045530795,-2.2999161210056087,Stop Loss
2025-02-24,2025-02-26,91606.01449999999,85058.04813048679,-2.300220953047622,Stop Loss
2025-05-05,2025-05-08,94791.39669999998,104166.26583363,2.8128123024296925,Take Profit
2025-05-06,2025-05-18,96895.69889999999,106478.68352121001,2.8128123024296965,Take Profit
2025-05-07,2025-05-19,97085.38839999998,106687.13331276001,2.8128123024296974,Take Profit
2025-05-22,2025-05-30,111774.36269999998,103786.18266431919,-2.3370854232977725,Stop Loss
2025-05-23,2025-06-22,107378.77149999999,99704.49718018607,-2.3371547641961006,Stop Loss
2025-06-05,2025-07-09,101560.05859999999,111604.34839554,3.0077160890248993,Take Profit
2025-05-09,2025-07-10,103044.84189999998,113235.97676391,2.9026657996693745,Take Profit
2025-07-02,2025-07-14,108908.79999999999,119679.88032000001,2.9330571688502425,Take Profit
2025-07-09,2025-07-14,111311.09989999999,122319.76768011002,3.0291367433989964,Take Profit
