Sharpe Ratio,Annualized Return (%),Max Drawdown (%),Win Rate (%),Profit Factor,Total Trades,rsi_entry_max,stop_loss_pct,take_profit_pct,position_size_pct,max_positions
0.8239835940463882,5.575077250502986,3.636228584855896,60.0,4.733151964256559,10,65,7,25,25,1
0.767726643613397,7.012089642480383,4.7855993566810024,54.54545454545454,3.7879321263603902,11,75,7,25,33,1
0.7677266436133967,5.1621883969275935,3.636228584855904,54.54545454545454,3.8431410139484004,11,75,7,25,25,1
0.7675234890356686,7.01202215859585,4.785599356681016,54.54545454545454,3.787851424198328,11,70,7,25,33,1
0.7591392678037377,8.795416616432922,7.238667592763573,52.63157894736842,3.3575078718083238,19,65,7,25,25,2
0.7575742012473972,12.109869564279714,9.512375708711266,52.63157894736842,3.256032575379878,19,65,7,25,33,2
0.734519720311553,4.265264534500926,3.6362285848559024,53.84615384615385,2.992108679850776,13,65,7,20,25,1
0.7343320418420735,5.760048804757774,4.785599356681008,53.84615384615385,2.9524470108049186,13,65,7,20,33,1
0.7296808392809218,6.543921725036694,6.8703938464080805,42.857142857142854,3.2803064152277135,14,75,5,25,33,1
0.7109836410362702,5.760879644107128,4.7855993566810096,55.55555555555556,3.933910467567361,9,65,7,25,33,1
0.7003136492413082,12.704297326251954,17.353897327623116,27.083333333333332,2.2989410388596183,48,75,3,25,33,3
0.6988611007939493,7.4231416089023154,8.940833086216168,45.45454545454545,2.5603563769209434,22,75,7,25,25,2
0.6966032454800778,10.084312728203827,11.70416056244285,45.45454545454545,2.495136779828667,22,75,7,25,33,2
0.6946358722388457,7.8869598205499285,8.940857830889724,47.61904761904761,2.7755449814826547,21,70,7,25,25,2
0.6937035772539181,10.77185621803451,11.704171752171371,47.61904761904761,2.7001107785991185,21,70,7,25,33,2
0.6901633557671967,4.542385317791977,5.238702138917174,40.0,2.9793052469773786,15,70,5,25,25,1
0.6898106821595472,6.129882563939655,6.8707652521355485,40.0,2.9509392450779415,15,70,5,25,33,1
0.6886579344350587,9.19925364517583,13.425781897473291,26.53061224489796,2.335239575891986,49,75,3,25,25,3
0.685438361001795,15.295258956982579,16.25939511978386,46.666666666666664,2.438644978690502,30,70,7,25,33,3
0.6710488148980769,3.8763696383531063,3.636215834797543,50.0,2.586468894293186,14,75,7,20,25,1
0.6708768206122679,5.210492675485226,4.785599356681016,50.0,2.558645530604954,14,70,7,20,33,1
0.6707132695566244,5.210555080533869,4.78559935668101,50.0,2.5586849950758848,14,75,7,20,33,1
0.6707054456264018,3.8763668860359277,3.636228584855898,50.0,2.586466145823376,14,70,7,20,25,1
0.6499590389221377,3.8800024548375682,3.6362285848558953,50.0,3.2179101963729457,10,70,7,25,25,1
0.6447927649610548,6.26603258582318,7.238667592763583,50.0,2.47233107521926,22,65,7,20,25,2
0.6436484809110027,4.479457309009248,6.870765252135547,42.857142857142854,2.638882568673962,14,70,5,20,33,1
0.6410829674792314,11.182198458851342,17.311975379898126,26.08695652173913,2.1692623267746796,46,70,3,25,33,3
0.6364407690033228,8.968238665653123,10.585824824318605,28.125,2.5680890478854983,32,65,3,25,33,2
0.6295874639343073,6.885247961161815,10.268373733970598,35.714285714285715,2.3601401092063727,28,70,5,25,25,2
0.6265598486559338,12.799868998637375,18.338094000797582,42.42424242424242,2.0837213953340616,33,75,7,25,33,3
0.6264712188434508,9.912735913892906,16.0276535585827,42.30769230769231,2.0927638894130305,26,65,7,25,33,3
0.6220032471230851,3.883564999290765,4.785599356681012,53.333333333333336,2.1961096224436436,15,70,7,15,33,1
0.6218468462151776,2.907136852932997,3.6362285848558975,53.333333333333336,2.216814388935807,15,75,7,15,25,1
0.6200397047679089,9.146611585712618,12.444257428978714,43.333333333333336,2.1878930744355793,30,70,7,25,25,3
0.6139148412106702,6.249072117458328,11.483594251045401,33.33333333333333,2.127061506361199,30,75,5,25,25,2
0.6109934141873857,8.355870111008457,14.936034631842949,33.33333333333333,2.0775529808414523,30,75,5,25,33,2
0.6102352833826232,3.5354650632190165,4.920191769326024,27.77777777777778,2.691822423024404,18,65,3,25,25,1
