entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2020-07-06,2020-07-16,9348.9396,9054.401769167715,-1.104623532132772,Stop Loss
2020-07-09,2020-07-27,9245.51628,11083.524916464,6.487839600000004,Take Profit
2020-07-21,2020-07-27,9397.398009999999,11265.600734388,6.416173397051373,Take Profit
2020-07-22,2020-07-27,9527.76825,11421.8885781,6.416173397051377,Take Profit
2020-10-06,2020-10-21,10604.243649999999,12712.36728762,7.669636100721788,Take Profit
2020-10-08,2020-10-21,10930.36945,13103.32689666,7.6696361007217835,Take Profit
2020-10-10,2020-10-27,11306.084789999999,13553.734446252,7.669636100721784,Take Profit
2023-04-14,2023-04-17,30483.553099999994,29522.69677652521,-1.5607221465080154,Stop Loss
2023-04-17,2023-04-19,29449.42,28520.837011757143,-1.5439791071084845,Stop Loss
2023-04-18,2023-04-19,30396.165799999995,29437.80292261814,-1.5438694669973394,Stop Loss
2023-05-28,2023-05-31,28083.755699999998,27198.435075170786,-1.5095207955142,Stop Loss
2023-05-29,2023-05-31,27749.721999999998,26874.90840520429,-1.5095583526723715,Stop Loss
2023-05-24,2023-06-05,26340.113799999996,25509.461002563854,-1.5100323341645867,Stop Loss
2023-05-31,2023-06-05,27228.301099999997,26369.710371042354,-1.4765364643226557,Stop Loss
2023-06-01,2023-06-05,26832.105299999996,25985.976909931356,-1.4765871914724367,Stop Loss
2023-07-13,2023-07-14,31473.141699999996,30480.946992112215,-1.4268577939950988,Stop Loss
2023-07-10,2023-07-18,30427.296899999998,29468.08559743907,-1.4268395860284415,Stop Loss
2023-07-12,2023-07-18,30399.2689,29440.939218179075,-1.4268423208236123,Stop Loss
2023-07-14,2023-07-18,30323.593299999997,29367.643994177073,-1.4110789200972393,Stop Loss
2023-07-20,2023-07-24,29820.790999999997,28880.844661952142,-1.3637336876176926,Stop Loss
2023-08-01,2023-08-04,29730.901199999997,28794.191720611143,-1.3481167842785786,Stop Loss
2023-08-08,2023-08-16,29788.759,28850.56963922643,-1.332766448515684,Stop Loss
2023-07-24,2023-08-17,29192.963799999998,28272.852623671,-1.3485992647519782,Stop Loss
2023-08-07,2023-08-17,29231.9027,28310.5667005715,-1.33369838342743,Stop Loss
2023-08-16,2023-08-17,28743.1144,27837.153236548,-1.3190127898776356,Stop Loss
2023-10-16,2023-10-23,28514.786299999996,34183.52581644,7.484119990653012,Take Profit
2023-10-17,2023-10-23,28410.281899999998,34058.24594172,7.484119990653009,Take Profit
2023-10-19,2023-10-23,28725.596899999997,34436.24556372,7.484119990653006,Take Profit
2023-12-01,2024-01-08,38698.659999999996,46391.953607999996,8.940793092048313,Take Profit
2024-06-04,2024-06-07,70650.57999999999,68423.31143467143,-1.622003402368583,Stop Loss
2024-06-05,2024-06-07,71204.43329999999,68959.74327911991,-1.6219770127289181,Stop Loss
2024-06-07,2024-06-11,69446.377,67257.27394360786,-1.586009854803502,Stop Loss
2024-06-11,2024-06-14,67388.0207,65263.45908031007,-1.5687191815787174,Stop Loss
2024-06-13,2024-06-18,66853.68689999999,64746.04385713192,-1.5686684571676903,Stop Loss
2024-06-14,2024-06-18,66105.73969999999,64021.62333630792,-1.55136629784485,Stop Loss
2024-06-17,2024-06-18,66538.5721,64440.84099316594,-1.5513446239489963,Stop Loss
2024-06-18,2024-06-23,65215.149999999994,63159.25776032143,-1.4996306852360073,Stop Loss
2024-06-20,2024-06-24,64918.85399999999,62871.54648314428,-1.500151530148185,Stop Loss
2024-06-21,2024-06-24,64188.123999999996,62163.80159529429,-1.5001929841170087,Stop Loss
2024-10-29,2024-10-31,72812.2395,70516.69748867037,-1.449984557837676,Stop Loss
2024-10-30,2024-10-31,72421.34899999999,70138.10244934786,-1.4500013335421573,Stop Loss
2024-10-28,2024-11-03,70009.93999999999,67802.22485515714,-1.450306301820749,Stop Loss
2024-10-31,2024-11-03,70392.22189999999,68172.48207799264,-1.4182260868432397,Stop Loss
2025-02-18,2025-02-24,95717.62199999999,92700.11741427572,-1.3861479684032245,Stop Loss
2025-02-21,2025-02-24,96224.02789999999,93190.59431669122,-1.3861327225497928,Stop Loss
2025-02-24,2025-02-25,91606.01449999999,88717.3384389025,-1.3558550586499425,Stop Loss
2025-05-05,2025-07-10,94791.39669999998,113635.92636396,7.868617587737913,Take Profit
2025-05-06,2025-07-10,96895.69889999999,116158.56384131999,7.8686175877379085,Take Profit
2025-05-07,2025-07-10,97085.38839999998,116385.96361391999,7.868617587737909,Take Profit
2025-07-25,2025-08-01,117701.0835,113991.9551685075,-1.6008618919620814,Stop Loss
2025-07-10,2025-08-02,116095.17919999998,112436.40746326398,-1.60096493927109,Stop Loss
