entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2023-07-22,2023-08-17,29813.283499999998,27682.917624517497,-2.421720791942679,Stop Loss
2024-06-11,2024-06-24,67388.0207,62571.56799783778,-2.3636039493675733,Stop Loss
2024-06-13,2024-06-24,66853.68689999999,62075.38295948878,-2.363624113485246,Stop Loss
2024-06-14,2024-06-24,66105.73969999999,61380.83544983278,-2.363652886213792,Stop Loss
2025-05-29,2025-06-22,105645.43989999998,98094.91678976806,-2.1917541540478753,Stop Loss
2025-06-05,2025-07-10,101560.05859999999,116677.27332261,4.380619777083641,Take Profit
2025-06-19,2025-07-14,104711.7071,120298.04470183501,4.380619777083642,Take Profit
