entry_date,exit_date,entry_price,exit_price,pnl,exit_reason
2020-07-06,2020-08-01,9348.9396,11674.4883255,8.134541250000002,Take Profit
2020-07-22,2020-08-02,9527.76825,11897.8006021875,8.134541250000005,Take Profit
2020-07-23,2020-08-02,9614.014409999998,12005.500494487498,8.134541250000002,Take Profit
2020-09-01,2020-09-03,11942.11018,11088.371614770329,-3.0140545388731814,Stop Loss
2020-10-06,2020-10-25,10604.243649999999,13242.049257937499,9.874484580676413,Take Profit
2020-10-08,2020-10-27,10930.36945,13649.2988506875,9.874484580676413,Take Profit
2020-10-10,2020-10-31,11306.084789999999,14118.4733815125,9.874484580676416,Take Profit
2023-04-14,2023-04-20,30483.553099999994,28304.820451425494,-3.657883583325319,Stop Loss
2023-04-18,2023-04-20,30396.165799999995,28223.672167709,-3.657894661156253,Stop Loss
2023-04-17,2023-04-21,29449.42,27344.353587671427,-3.6582990028157996,Stop Loss
2023-05-28,2023-06-05,28083.755699999998,26076.591443941354,-3.3919853882902284,Stop Loss
2023-05-29,2023-06-05,27749.721999999998,25766.40607995286,-3.3920274285225447,Stop Loss
2023-07-10,2023-08-17,30427.296899999998,28253.093537824498,-3.2270075104556777,Stop Loss
2023-07-12,2023-08-17,30399.2689,28227.0665968845,-3.2270099684316467,Stop Loss
2023-05-24,2023-10-23,26340.113799999996,32892.21710775,11.391525804508193,Take Profit
2023-10-16,2023-10-23,28514.786299999996,35607.839392124995,10.314672769416957,Take Profit
2023-10-17,2023-10-23,28410.281899999998,35477.339522625,10.314672769416958,Take Profit
2023-12-01,2024-01-11,38698.659999999996,48324.951675000004,12.919423757450563,Take Profit
2024-06-05,2024-06-11,71204.43329999999,66116.12551668935,-4.159297104635524,Stop Loss
2024-06-04,2024-06-14,70650.57999999999,65601.61041232856,-4.15948980785198,Stop Loss
2024-06-07,2024-06-18,69446.377,64483.492592656425,-4.159466918069372,Stop Loss
2024-06-11,2024-06-24,67388.0207,62571.56799783778,-4.059277080764873,Stop Loss
2024-06-14,2024-06-24,66105.73969999999,61380.83544983278,-3.958605197238056,Stop Loss
2024-06-18,2024-06-24,65215.149999999994,60553.82940146428,-3.8579071461943766,Stop Loss
2024-10-29,2024-11-03,72812.2395,67608.25717875465,-3.5700015704537895,Stop Loss
2024-10-30,2024-11-04,72421.34899999999,67245.27694885927,-3.5700197963979403,Stop Loss
2024-10-28,2024-11-11,70009.93999999999,87424.912575,11.989269917661854,Take Profit
2025-02-18,2025-02-25,95717.62199999999,88876.65350231,-3.687412371714773,Stop Loss
2025-02-21,2025-02-25,96224.02789999999,89346.9045530795,-3.6873924792408364,Stop Loss
2025-02-24,2025-02-26,91606.01449999999,85058.04813048679,-3.687881208098765,Stop Loss
2025-05-05,2025-07-11,94791.39669999998,118370.756629125,11.483835280510759,Take Profit
2025-05-06,2025-07-14,96895.69889999999,120998.504001375,11.483835280510755,Take Profit
2025-05-07,2025-07-14,97085.38839999998,121235.3787645,11.483835280510759,Take Profit
